,Dist Name,prec_grow_av,prec_harvest_av,et_grow_av,et_harvest_av,maxT_grow_av,maxT_harvest_av,minT_grow_av,minT_harvest_av,windspeed_grow_av,windspeed_harvest_av,runoff_grow_av,runoff_harvest_av,KM5_clusterN_(maxT_growth_maxT_harvest)
1891,Dakshina Kannada,767.6629999999998,43.42576923076923,111.95299999999999,87.28173076923076,28.715153846153846,30.26653846153846,22.61315384615385,20.68,2.383038461538461,1.6420769230769234,603.8177692307692,4.939038461538461,2
1917,Uttara Kannada,587.3489230769231,24.443653846153854,103.09692307692309,75.81192307692308,27.44953846153846,29.392884615384613,21.016384615384617,17.753653846153846,2.5596846153846156,1.7459230769230771,432.5492307692308,2.3984615384615386,3
1943,Kodagu,528.4465384615385,38.683653846153845,100.15184615384615,76.21442307692307,24.441076923076928,25.597115384615385,18.42030769230769,16.656923076923075,2.0353153846153846,1.5078461538461536,389.92976923076924,4.376730769230769,3
1969,Chengalpattu MGR Kancheepuram,143.22453846153846,200.41153846153844,109.6549230769231,96.36288461538463,34.85876923076923,29.297307692307683,25.295307692307688,21.677307692307693,2.828607692307693,1.9519038461538463,9.130846153846154,57.97923076923076,4
1995,South Arcot Cuddalore,128.23669230769232,211.57423076923078,99.18053846153846,102.31500000000003,34.88592307692308,29.034038461538465,25.27907692307692,22.27423076923077,2.735346153846154,2.0849999999999995,6.804461538461539,51.73923076923078,4
2021,North Arcot Vellore,128.32884615384614,91.38307692307689,103.01769230769231,80.62307692307692,33.09453846153846,28.33692307692308,23.588923076923074,19.3375,2.154153846153846,1.4037500000000003,7.817230769230771,9.87173076923077,4
2047,Salem,115.83669230769235,82.89134615384614,90.23946153846153,84.89692307692306,32.68053846153846,29.151346153846152,22.78261538461539,19.852884615384617,2.303669230769231,1.637346153846154,8.78130769230769,10.289423076923075,4
2073,Coimbatore,162.53861538461535,89.55576923076923,92.00215384615382,85.55942307692308,29.061461538461547,28.225384615384616,21.14792307692307,19.427884615384617,2.2365769230769232,1.502269230769231,52.78753846153847,21.186346153846156,4
2099,Tiruchirapalli Trichy,101.62415384615385,97.60153846153844,78.6946923076923,90.08365384615384,34.592307692307685,29.661153846153844,24.849230769230765,21.74269230769231,2.535369230769231,1.7954807692307688,6.440384615384616,7.231923076923077,4
2125,Thanjavur,104.72146153846153,188.47692307692307,85.58846153846154,103.1546153846154,34.39946153846153,29.064423076923074,25.422307692307694,22.56288461538462,2.536884615384616,2.1000384615384613,5.239230769230769,22.731538461538456,4
