"Dist.Code","Dist.Name","State.Name","Cluster"
706,"Kalahandi","Orissa",1
707,"Keonjhar","Orissa",1
708,"Koraput","Orissa",1
709,"Mayurbhanja","Orissa",1
710,"Phulbani(Kandhamal)","Orissa",1
711,"Puri","Orissa",1
712,"Sambalpur","Orissa",1
713,"Sundargarh","Orissa",1
714,"Bhadrak","Orissa",1
716,"Jagatsinghapur","Orissa",1
717,"Jajapur","Orissa",1
718,"Kendrapara","Orissa",1
719,"Angul","Orissa",1
720,"Gajapati","Orissa",1
721,"Nuapada","Orissa",1
722,"Malkangiri","Orissa",1
723,"Nawarangpur","Orissa",1
724,"Rayagada","Orissa",1
725,"Khurda","Orissa",1
726,"Nayagarh","Orissa",1
728,"Boudh","Orissa",1
729,"Bargarh","Orissa",1
730,"Deogarh","Orissa",1
731,"Jharsuguda","Orissa",1
732,"Sonepur","Orissa",1
902,"Muzaffarpur","Bihar",3
903,"Darbhanga","Bihar",3
904,"Saharsa","Bihar",3
905,"Purnea","Bihar",1
906,"Saran","Bihar",3
907,"Patna","Bihar",3
908,"Mungair","Bihar",3
909,"Bhagalpur","Bihar",3
910,"Santhal Paragana Dumka","Jharkhand",1
912,"Gaya","Bihar",3
913,"Hazaribagh","Jharkhand",1
914,"Dhanbad","Jharkhand",1
915,"Palamau","Jharkhand",3
916,"Ranchi","Jharkhand",1
918,"Nalanda","Bihar",3
919,"Nawada","Bihar",3
920,"Aurangabad","Bihar",5
921,"Bhojpur","Bihar",3
922,"Rohtas","Bihar",3
923,"Siwan","Bihar",3
924,"Gopalganj","Bihar",3
925,"Champaran(East)","Bihar",1
926,"Champaran(West","Bihar",1
927,"Vaishali","Bihar",3
928,"Sitamarhi","Bihar",1
929,"Madhubani","Bihar",1
930,"Samastipur","Bihar",3
931,"Begusarai","Bihar",3
932,"Katihar","Bihar",1
933,"Giridih","Jharkhand",1
934,"Jehanabad","Bihar",3
935,"Madhepura","Bihar",1
936,"Khagaria","Bihar",3
937,"Godda","Jharkhand",1
938,"Sahebganj","Jharkhand",1
