Dist Code,Year,Dist Name,State Name,RICE AREA (1000 ha),RICE YIELD (kg per ha),nitrogen,phosphate,potash,prec_grow,prec_harvest,et_grow,et_harvest,maxT_grow,maxT_harvest,minT_grow,minT_harvest,runoff_grow,runoff_harvest,windspeed_grow,windspeed_harvest
523,2000,Yamunanagar,Haryana,55.5,2955.0,4451.382628336755,809.7438603696097,199.23930184804928,196.726,5.71,107.43400000000001,21.655,33.166,24.985,23.534,10.1,80.252,0.28,1.0998,0.5255000000000001
523,2001,Yamunanagar,Haryana,53.8,2993.0,4239.537215605749,1025.6290595482544,199.67201642710472,152.588,2.375,109.048,19.810000000000002,33.10600000000001,24.18,23.874000000000002,10.665,30.610000000000003,0.12,1.0472,0.4155
523,2002,Yamunanagar,Haryana,50.2,3008.0,3616.2430718685837,921.251433264887,116.28670225872692,162.53399999999996,10.035,91.18599999999999,28.759999999999998,32.866,24.29,24.0,10.774999999999999,54.024,0.52,1.1867999999999999,0.403
523,2003,Yamunanagar,Haryana,56.8,3028.0,4829.744821355236,1326.9366406570841,266.9576673511294,229.546,28.865000000000002,113.53,39.175,33.116,23.439999999999998,23.506,8.879999999999999,95.38799999999999,1.445,1.0097999999999998,0.33399999999999996
523,2004,Yamunanagar,Haryana,58.72,3253.0,4976.769590143737,1307.09996550308,288.03426036960985,140.478,7.3549999999999995,99.446,32.845,32.882,25.335,23.072,9.275,16.044,0.37,1.0864,0.398
523,2005,Yamunanagar,Haryana,59.3,3373.0,5310.3478767967135,1499.1088706365504,383.03659958932235,181.478,1.115,103.05199999999999,24.195,33.352000000000004,23.545,23.836000000000002,8.835,62.81,0.05,1.0952,0.4405
523,2006,Yamunanagar,Haryana,59.4,3586.0,4985.384673511294,1308.5515071868583,302.3179466119097,260.36400000000003,16.145,114.10799999999999,36.855000000000004,32.722,23.799999999999997,23.912000000000003,10.684999999999999,119.43999999999998,0.805,1.0508,0.439
523,2007,Yamunanagar,Haryana,59.3,3828.0,6229.6853963039,1290.4508008213554,313.483909650924,144.75799999999998,6.025,110.21000000000001,23.645000000000003,33.408,24.195,23.952000000000005,9.135,22.942,0.305,1.0521999999999998,0.3945
523,2008,Yamunanagar,Haryana,71.7,3082.0,7074.025059548255,1516.7420944558523,488.6612648870637,228.57800000000003,4.48,114.92199999999998,27.275,32.578,25.595,23.742,9.98,94.344,0.215,0.9792000000000002,0.382
523,2009,Yamunanagar,Haryana,73.5,3633.0,7686.657166324435,2198.6068583162214,1016.6363039014375,157.49600000000004,12.635,96.982,33.480000000000004,33.482,23.955,23.890000000000004,10.035,35.772000000000006,0.635,1.1586000000000003,0.3375
523,2010,Yamunanagar,Haryana,74.6,3271.0,7164.835219712526,2364.6331170431213,821.5436057494866,239.22000000000003,20.25,91.176,34.835,32.69,24.445,24.164,9.33,131.834,1.01,1.2034,0.5165
523,2011,Yamunanagar,Haryana,72.7,3686.0,6828.563211498973,2240.1512279260783,481.7725995893224,245.83599999999996,6.295,115.78799999999998,25.345,32.577999999999996,25.490000000000002,24.01,10.33,114.588,0.31,1.1496,0.2525
