"Dist Code","Year","State Code","State Name","Dist Name","JUNE ACTUAL (Millimeters)","JULY ACTUAL (Millimeters)","AUGUST ACTUAL (Millimeters)","SEPTEMBER ACTUAL (Millimeters)","OCTOBER ACTUAL (Millimeters)","NOVEMBER ACTUAL (Millimeters)","DECEMBER ACTUAL (Millimeters)"
"3","2012","14","Chhattisgarh","Raipur","122.7","113.87","108.35","110.75","75.68","48.28","34.74"
"3","2013","14","Chhattisgarh","Raipur","160.18","110.92","106.39","111.41","112.93","54.88","41.01"
"3","2014","14","Chhattisgarh","Raipur","116.01","114.52","108.75","110.27","82.17","48.76","35.55"
"3","2015","14","Chhattisgarh","Raipur","161.98","113.91","109.05","111.76","76.69","48.55","36.27"
"5","1958","14","Chhattisgarh","Raigarh","118.52","108.83","105.71","109.04","108.27","65.71","42.54"
"5","1959","14","Chhattisgarh","Raigarh","134.77","108.94","105.03","108.33","117.22","66.97","50.57"
"5","1960","14","Chhattisgarh","Raigarh","146.27","109.75","106.21","109.52","108.85","64.82","46.83"
"5","1961","14","Chhattisgarh","Raigarh","152.35","107.87","105.93","109.07","109.77","62.92","47.29"
"5","1962","14","Chhattisgarh","Raigarh","138.63","109.27","105.76","109.29","96.06","58.17","54.41"
"5","1963","14","Chhattisgarh","Raigarh","150.01","110.25","104.98","110.53","113.02","65.25","45.93"
"5","1964","14","Chhattisgarh","Raigarh","151.21","109.8","105.31","108.48","106.86","67.05","48.88"
"5","1965","14","Chhattisgarh","Raigarh","111.04","111.76","107.41","108.64","84.2","54.29","40.99"
"5","1966","14","Chhattisgarh","Raigarh","158.19","112.33","106.28","111.75","85.67","64.56","37.79"
"5","1967","14","Chhattisgarh","Raigarh","155.21","110.26","106.74","109.59","92.52","59.4","55.45"
"5","1968","14","Chhattisgarh","Raigarh","152.31","111.18","107.59","110.66","105.47","63.81","46.69"
"5","1969","14","Chhattisgarh","Raigarh","121.46","110.5","107.92","108.74","81.82","57.67","36.31"
"5","1970","14","Chhattisgarh","Raigarh","148.27","111.75","105.69","108.92","102.12","62.63","43.06"
"5","1971","14","Chhattisgarh","Raigarh","150.35","109.56","105.16","110.35","102.5","58.12","40.86"
"5","1972","14","Chhattisgarh","Raigarh","116.36","114.36","109.45","112.6","89.19","62.92","38.84"
"5","1973","14","Chhattisgarh","Raigarh","131.35","112.09","106.18","108.56","114.23","63.35","48.92"
"5","1974","14","Chhattisgarh","Raigarh","130.79","111.08","107.71","111.12","114.14","64.46","46.75"
"5","1975","14","Chhattisgarh","Raigarh","152.22","108.3","106.0","108.24","113.75","63.35","46.27"
"5","1976","14","Chhattisgarh","Raigarh","110.56","110.31","106.25","111.11","80.37","62.09","36.24"
"5","1977","14","Chhattisgarh","Raigarh","152.2","109.89","106.23","109.49","98.7","73.93","47.53"
